วันที่เกิดเหตุ,จังหวัด,จำนวนอุบัติเหตุ
2024-01-01,กระบี่,1
2024-01-01,หนองคาย,1
2024-01-01,สุโขทัย,1
2024-01-01,สุรินทร์,1
2024-01-01,สุราษฎร์ธานี,9
2024-01-01,สุพรรณบุรี,12
2024-01-01,สิงห์บุรี,3
2024-01-01,สระแก้ว,2
2024-01-01,สระบุรี,7
2024-01-01,สมุทรสาคร,4
2024-01-01,สมุทรปราการ,3
2024-01-01,สตูล,3
2024-01-01,สงขลา,5
2024-01-01,สกลนคร,3
2024-01-01,ศรีสะเกษ,4
2024-01-01,ลำพูน,3
2024-01-01,หนองบัวลำภู,2
2024-01-01,อำนาจเจริญ,2
2024-01-01,อุดรธานี,5
2024-01-01,อุตรดิตถ์,1
2024-01-01,พังงา,0
2024-01-01,สมุทรสงคราม,0
2024-01-01,ระนอง,0
2024-01-01,ยะลา,0
2024-01-01,นราธิวาส,0
2024-01-01,ชัยภูมิ,0
2024-01-01,แม่ฮ่องสอน,1
2024-01-01,ลำปาง,1
2024-01-01,แพร่,8
2024-01-01,เพชรบูรณ์,9
2024-01-01,เพชรบุรี,3
2024-01-01,เชียงใหม่,7
2024-01-01,เชียงราย,5
2024-01-01,อ่างทอง,1
2024-01-01,อุบลราชธานี,2
2024-01-01,อุทัยธานี,1
2024-01-01,เลย,4
2024-01-01,ลพบุรี,6
2024-01-01,อยุธยา,4
2024-01-01,ราชบุรี,6
2024-01-01,นครพนม,4
2024-01-01,นครปฐม,4
2024-01-01,นครนายก,1
2024-01-01,ตาก,9
2024-01-01,ตราด,2
2024-01-01,ตรัง,1
2024-01-01,ชุมพร,5
2024-01-01,นครราชสีมา,4
2024-01-01,ชัยนาท,2
2024-01-01,ฉะเชิงเทรา,6
2024-01-01,จันทบุรี,6
2024-01-01,ขอนแก่น,4
2024-01-01,กำแพงเพชร,1
2024-01-01,กาฬสินธุ์,2
2024-01-01,กาญจนบุรี,5
2024-01-01,ร้อยเอ็ด,4
2024-01-01,ชลบุรี,13
